Posições selecionadas,Valores selecionados,Valores gerados,Valores simulados,Erros,Erros absolutos
"(12, 326)",4.5,2.76868306333049,2.8967600039908885,-1.6032399960091115,1.6032399960091115
"(212, 1422)",2.0,0.5,0.7078441493409285,-1.2921558506590713,1.2921558506590713
"(561, 1359)",4.0,0.5,2.3736280884324485,-1.6263719115675515,1.6263719115675515
"(614, 8510)",3.0,4.847619916697511,3.2088698621933704,0.20886986219337045,0.20886986219337045
"(536, 1125)",4.0,0.7025675506652689,0.7512678886579819,-3.2487321113420182,3.2487321113420182
"(482, 6955)",5.0,2.5435357654296378,2.7863305127634908,-2.2136694872365092,2.2136694872365092
"(132, 5012)",0.5,0.6583282817810716,1.9108056901304333,1.4108056901304333,1.4108056901304333
"(456, 3877)",3.5,2.550284399851017,2.5992601314116235,-0.9007398685883765,0.9007398685883765
"(479, 1357)",3.5,0.820534001939806,1.3772390330069129,-2.122760966993087,2.122760966993087
"(600, 6777)",3.5,3.0621085686031564,2.8825225232648126,-0.6174774767351874,0.6174774767351874
"(261, 5660)",3.0,1.6277183241432787,1.7373443461883538,-1.2626556538116462,1.2626556538116462
"(4, 4147)",4.0,1.6433590844243082,2.766716878905645,-1.2332831210943551,1.2332831210943551
"(560, 4235)",4.0,1.4808201481763357,2.8390393606395508,-1.1609606393604492,1.1609606393604492
"(147, 734)",4.0,0.571943785452516,2.580248823694933,-1.4197511763050672,1.4197511763050672
"(228, 773)",4.5,0.6174856109674024,2.7580487022250053,-1.7419512977749947,1.7419512977749947
"(140, 314)",4.0,1.1814501984356363,2.724083471483157,-1.2759165285168428,1.2759165285168428
"(552, 5569)",4.0,1.7827714915952555,3.183942163647505,-0.8160578363524951,0.8160578363524951
"(357, 20)",4.0,3.292191310582737,3.2764816553927814,-0.7235183446072186,0.7235183446072186
"(58, 2609)",4.0,2.30756827898929,2.5104093268409766,-1.4895906731590234,1.4895906731590234
"(536, 1)",3.0,0.5,1.0644522961045069,-1.9355477038954931,1.9355477038954931
"(241, 2603)",4.0,1.3644377683221918,1.5503959008192263,-2.4496040991807737,2.4496040991807737
"(47, 7680)",3.5,1.781109553308533,2.8247296468916847,-0.6752703531083153,0.6752703531083153
"(509, 2719)",4.0,2.7068109027359926,3.054231071293121,-0.9457689287068791,0.9457689287068791
"(438, 3650)",1.0,1.1288041503163895,2.514526866602433,1.514526866602433,1.514526866602433
"(499, 3156)",2.5,2.49211804563439,3.090608146110612,0.5906081461106121,0.5906081461106121
"(430, 744)",4.0,2.2545372081463904,2.8113228262730816,-1.1886771737269184,1.1886771737269184
"(543, 8854)",5.0,1.6215770265108098,1.9470395728972605,-3.0529604271027395,3.0529604271027395
"(471, 3682)",4.0,1.9645651300104223,1.9986523634071713,-2.0013476365928287,2.0013476365928287
"(467, 2354)",3.5,0.8368487003451057,1.0550335311861248,-2.4449664688138752,2.4449664688138752
"(296, 5247)",3.5,0.568245080237074,2.5654585349282786,-0.9345414650717214,0.9345414650717214
"(177, 5976)",4.0,1.3592813354341775,2.6933379723309017,-1.3066620276690983,1.3066620276690983
"(379, 8021)",2.5,0.5,0.6218155614169657,-1.8781844385830344,1.8781844385830344
"(542, 693)",5.0,1.069698842766715,3.1890977652825026,-1.8109022347174974,1.8109022347174974
"(82, 2754)",4.0,0.6085969197618475,1.932858203201369,-2.067141796798631,2.067141796798631
"(40, 5561)",4.0,0.5,2.538091494276292,-1.461908505723708,1.461908505723708
"(546, 7117)",2.5,3.4011699647338114,3.39688771636972,0.89688771636972,0.89688771636972
"(378, 1801)",3.0,1.8296132573356512,2.7853770015677166,-0.21462299843228339,0.21462299843228339
"(583, 7388)",5.0,1.2194676458383784,3.0043799135881373,-1.9956200864118627,1.9956200864118627
"(16, 3869)",4.5,4.659366429479509,4.834955349716357,0.3349553497163571,0.3349553497163571
"(621, 6142)",5.0,2.7450961612721776,3.153122741124016,-1.8468772588759839,1.8468772588759839
"(149, 1798)",3.5,0.5,2.3209758968279828,-1.1790241031720172,1.1790241031720172
"(404, 5468)",4.0,0.5,0.7851715412116307,-3.2148284587883693,3.2148284587883693
"(101, 1012)",5.0,2.9452560127706073,2.9966366797531507,-2.0033633202468493,2.0033633202468493
"(563, 2220)",4.0,2.913602358023979,2.929569000322057,-1.070430999677943,1.070430999677943
"(271, 3033)",4.0,1.0153687641690528,2.7620737107832154,-1.2379262892167846,1.2379262892167846
"(595, 965)",5.0,1.7779524917473577,2.422261816807989,-2.577738183192011,2.577738183192011
